# full_text.txt
ZY    4107 0.006
NZ    4072 0.006
KD    3921 0.006
CW    3910 0.006
CN    3894 0.006
NQ    3830 0.006
EZ    3592 0.005
OZ    3555 0.005
PN    3496 0.005
XH    3417 0.005
UV    3368 0.005
FJ    3351 0.005
FK    3346 0.005
YZ    3192 0.005
XU    3072 0.004
TZ    3056 0.004
PG    2884 0.004
LJ    2882 0.004
JI    2876 0.004
BD    2876 0.004
XY    2855 0.004
GV    2849 0.004
VS    2784 0.004
HV    2773 0.004
DQ    2701 0.004
CQ    2579 0.004
GK    2537 0.004
OQ    2515 0.004
WG    2506 0.004
ZZ    2497 0.004
TQ    2483 0.004
HJ    2432 0.004
RQ    2415 0.004
PK    2373 0.003
CV    2373 0.003
HK    2327 0.003
XS    2313 0.003
BV    2311 0.003
MV    2284 0.003
LQ    2119 0.003
BW    2065 0.003
VY    2054 0.003
MJ    2014 0.003
GJ    1996 0.003
XW    1918 0.003
WJ    1827 0.003
XM    1827 0.003
UX    1736 0.003
UU    1686 0.002
BF    1684 0.002
YQ    1681 0.002
MK    1660 0.002
IY    1651 0.002
PV    1619 0.002
BH    1607 0.002
QA    1574 0.002
XF    1547 0.002
UZ    1537 0.002
WK    1520 0.002
XR    1447 0.002
UJ    1433 0.002
BN    1427 0.002
NX    1368 0.002
XB    1363 0.002
QI    1324 0.002
VR    1317 0.002
VT    1307 0.002
HQ    1287 0.002
XD    1268 0.002
ZS    1196 0.002
VC    1174 0.002
BG    1166 0.002
VU    1126 0.002
KK    1099 0.002
VP    1066 0.002
ZL    1000 0.001
SZ     997 0.001
GQ     973 0.001
TX     930 0.001
XL     871 0.001
WV     870 0.001
RZ     866 0.001
KV     856 0.001
ZT     856 0.001
ZH     841 0.001
JR     818 0.001
ZU     802 0.001
ZM     786 0.001
KJ     779 0.001
FQ     772 0.001
XX     769 0.001
CJ     742 0.001
XN     735 0.001
DZ     713 0.001
VH     697 0.001
VB     690 0.001
CZ     689 0.001
PJ     678 0.001
SX     665 0.001
RX     640 0.001
XG     633 0.001
VD     626 0.001
LZ     622 0.001
QT     613 0.001
XV     595 0.001
VW     593 0.001
VM     575 0.001
VL     555 0.001
VV     533 0.001
FZ     519 0.001
KQ     515 0.001
DX     507 0.001
QP     505 0.001
ZW     484 0.001
VG     481 0.001
VF     479 0.001
ZB     462 0.001
FX     461 0.001
JC     456 0.001
ZC     431 0.001
QS     425 0.001
VN     406 0.001
JS     402 0.001
MQ     398 0.001
HZ     396 0.001
MZ     394 0.001
ZP     392 0.001
GZ     392 0.001
JF     379 0.001
ZN     374 0.001
ZD     364 0.001
CX     362 0.001
JM     343 0.001
BK     342 0.000
JT     323 0.000
JP     316 0.000
JN     315 0.000
PQ     306 0.000
JB     297 0.000
LX     289 0.000
QW     289 0.000
ZR     282 0.000
JD     267 0.000
ZF     267 0.000
XQ     259 0.000
MX     248 0.000
JW     236 0.000
XK     236 0.000
UQ     231 0.000
BX     222 0.000
WQ     219 0.000
QD     216 0.000
QR     215 0.000
ZV     215 0.000
YX     210 0.000
QO     208 0.000
PX     201 0.000
GX     193 0.000
JH     189 0.000
ZG     186 0.000
QM     186 0.000
WZ     178 0.000
XJ     172 0.000
HX     172 0.000
KX     172 0.000
JK     171 0.000
ZK     170 0.000
QC     162 0.000
BZ     160 0.000
QF     154 0.000
VJ     139 0.000
JG     132 0.000
QH     130 0.000
QB     128 0.000
JL     126 0.000
QE     112 0.000
QQ     105 0.000
QL     100 0.000
JJ      90 0.000
QK      84 0.000
VK      80 0.000
QG      73 0.000
QN      71 0.000
ZQ      70 0.000
PZ      70 0.000
JV      66 0.000
KZ      64 0.000
BQ      60 0.000
ZJ      58 0.000
VX      52 0.000
JQ      50 0.000
QV      48 0.000
VQ      47 0.000
JY      44 0.000
QJ      41 0.000
WX      34 0.000
VZ      32 0.000
QX      31 0.000
JX      28 0.000
XZ      25 0.000
JZ      22 0.000
ZX      16 0.000
QY      13 0.000
QZ       4 0.000
